"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2021-02-16,"BC","Vancouver Coastal","All",121,105.86
2021-02-16,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",45,32.57
2021-02-16,"BC","Vancouver Coastal","Richmond",7,7.71
2021-02-16,"BC","Vancouver Coastal","Unknown",0,0
2021-02-16,"BC","Vancouver Coastal","Vancouver",69,65.57
2021-02-16,"BC","Vancouver Island","All",20,16.57
2021-02-16,"BC","Vancouver Island","Central Vancouver Island",15,11
2021-02-16,"BC","Vancouver Island","North Vancouver Island",3,1.14
2021-02-16,"BC","Vancouver Island","South Vancouver Island",2,4.43
2021-02-16,"Out of Canada","Out of Canada","Out of Canada",1,1
2021-02-17,"BC","All","All",616,431.43
2021-02-17,"BC","Fraser","All",342,233.86
2021-02-17,"BC","Fraser","Fraser East",76,39.29
2021-02-17,"BC","Fraser","Fraser North",108,88.86
2021-02-17,"BC","Fraser","Fraser South",157,105.29
2021-02-17,"BC","Fraser","Unknown",1,0.43
2021-02-17,"BC","Interior","All",18,28.71
2021-02-17,"BC","Interior","East Kootenay",0,0.29
2021-02-17,"BC","Interior","Kootenay Boundary",2,0.29
2021-02-17,"BC","Interior","Okanagan",7,9.86
2021-02-17,"BC","Interior","Thompson Cariboo Shuswap",9,18.29
2021-02-17,"BC","Northern","All",95,40
2021-02-17,"BC","Northern","Northeast",21,7.71
2021-02-17,"BC","Northern","Northern Interior",41,14.86
2021-02-17,"BC","Northern","Northwest",33,17.43
2021-02-17,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-17,"BC","Vancouver Coastal","All",140,111.57
2021-02-17,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",26,29.71
2021-02-17,"BC","Vancouver Coastal","Richmond",11,8.86
2021-02-17,"BC","Vancouver Coastal","Unknown",0,0
2021-02-17,"BC","Vancouver Coastal","Vancouver",103,73
2021-02-17,"BC","Vancouver Island","All",21,17.29
2021-02-17,"BC","Vancouver Island","Central Vancouver Island",11,10.86
2021-02-17,"BC","Vancouver Island","North Vancouver Island",3,1.57
2021-02-17,"BC","Vancouver Island","South Vancouver Island",7,4.86
2021-02-17,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2021-02-18,"BC","All","All",531,445.43
2021-02-18,"BC","Fraser","All",289,243.14
2021-02-18,"BC","Fraser","Fraser East",54,41.57
2021-02-18,"BC","Fraser","Fraser North",113,92.43
2021-02-18,"BC","Fraser","Fraser South",121,108.57
2021-02-18,"BC","Fraser","Unknown",1,0.57
2021-02-18,"BC","Interior","All",61,31.71
2021-02-18,"BC","Interior","East Kootenay",1,0.43
2021-02-18,"BC","Interior","Kootenay Boundary",0,0.29
2021-02-18,"BC","Interior","Okanagan",18,10.57
2021-02-18,"BC","Interior","Thompson Cariboo Shuswap",42,20.43
2021-02-18,"BC","Northern","All",37,42
2021-02-18,"BC","Northern","Northeast",11,9
2021-02-18,"BC","Northern","Northern Interior",3,14.29
2021-02-18,"BC","Northern","Northwest",23,18.71
2021-02-18,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-18,"BC","Vancouver Coastal","All",125,110.71
2021-02-18,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",32,28.71
2021-02-18,"BC","Vancouver Coastal","Richmond",5,8.86
2021-02-18,"BC","Vancouver Coastal","Unknown",2,0.29
2021-02-18,"BC","Vancouver Coastal","Vancouver",86,72.86
2021-02-18,"BC","Vancouver Island","All",19,17.86
2021-02-18,"BC","Vancouver Island","Central Vancouver Island",8,10.71
2021-02-18,"BC","Vancouver Island","North Vancouver Island",9,2.86
2021-02-18,"BC","Vancouver Island","South Vancouver Island",2,4.29
2021-02-18,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2021-02-19,"BC","All","All",529,456.57
2021-02-19,"BC","Fraser","All",283,250.43
2021-02-19,"BC","Fraser","Fraser East",46,45.14
2021-02-19,"BC","Fraser","Fraser North",112,94
2021-02-19,"BC","Fraser","Fraser South",125,110.71
2021-02-19,"BC","Fraser","Unknown",0,0.57
2021-02-19,"BC","Interior","All",21,28.71
2021-02-19,"BC","Interior","East Kootenay",4,0.86
2021-02-19,"BC","Interior","Kootenay Boundary",1,0.43
2021-02-19,"BC","Interior","Okanagan",7,8.29
2021-02-19,"BC","Interior","Thompson Cariboo Shuswap",9,19.14
2021-02-19,"BC","Northern","All",49,40
2021-02-19,"BC","Northern","Northeast",7,8.57
2021-02-19,"BC","Northern","Northern Interior",9,11.71
2021-02-19,"BC","Northern","Northwest",33,19.71
2021-02-19,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-19,"BC","Vancouver Coastal","All",130,115.43
2021-02-19,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",23,28.43
2021-02-19,"BC","Vancouver Coastal","Richmond",13,9.29
2021-02-19,"BC","Vancouver Coastal","Unknown",0,0.29
2021-02-19,"BC","Vancouver Coastal","Vancouver",94,77.43
2021-02-19,"BC","Vancouver Island","All",46,22
2021-02-19,"BC","Vancouver Island","Central Vancouver Island",29,13
2021-02-19,"BC","Vancouver Island","North Vancouver Island",9,4.14
2021-02-19,"BC","Vancouver Island","South Vancouver Island",8,4.86
2021-02-19,"Out of Canada","Out of Canada","Out of Canada",0,0.71
2021-02-20,"BC","All","All",490,462.71
2021-02-20,"BC","Fraser","All",274,255.57
2021-02-20,"BC","Fraser","Fraser East",46,46.43
2021-02-20,"BC","Fraser","Fraser North",106,94.29
2021-02-20,"BC","Fraser","Fraser South",122,114.43
2021-02-20,"BC","Fraser","Unknown",0,0.43
2021-02-20,"BC","Interior","All",19,26.43
2021-02-20,"BC","Interior","East Kootenay",3,1.29
2021-02-20,"BC","Interior","Kootenay Boundary",1,0.57
2021-02-20,"BC","Interior","Okanagan",10,8.43
2021-02-20,"BC","Interior","Thompson Cariboo Shuswap",5,16.14
2021-02-20,"BC","Northern","All",33,38
2021-02-20,"BC","Northern","Northeast",8,8
2021-02-20,"BC","Northern","Northern Interior",10,11.14
2021-02-20,"BC","Northern","Northwest",15,18.86
2021-02-20,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-20,"BC","Vancouver Coastal","All",134,118.57
2021-02-20,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",21,27.43
2021-02-20,"BC","Vancouver Coastal","Richmond",16,10.43
2021-02-20,"BC","Vancouver Coastal","Unknown",0,0.29
2021-02-20,"BC","Vancouver Coastal","Vancouver",97,80.43
2021-02-20,"BC","Vancouver Island","All",30,24.14
2021-02-20,"BC","Vancouver Island","Central Vancouver Island",20,14.57
2021-02-20,"BC","Vancouver Island","North Vancouver Island",9,5.14
2021-02-20,"BC","Vancouver Island","South Vancouver Island",1,4.43
2021-02-20,"Out of Canada","Out of Canada","Out of Canada",1,0.43
2021-02-21,"BC","All","All",454,476.14
2021-02-21,"BC","Fraser","All",278,265.43
2021-02-21,"BC","Fraser","Fraser East",40,46.14
2021-02-21,"BC","Fraser","Fraser North",110,100.43
2021-02-21,"BC","Fraser","Fraser South",128,118.43
2021-02-21,"BC","Fraser","Unknown",0,0.43
2021-02-21,"BC","Interior","All",28,28.71
2021-02-21,"BC","Interior","East Kootenay",0,1.14
2021-02-21,"BC","Interior","Kootenay Boundary",0,0.57
2021-02-21,"BC","Interior","Okanagan",8,8.86
2021-02-21,"BC","Interior","Thompson Cariboo Shuswap",20,18.14
2021-02-21,"BC","Northern","All",26,37.86
2021-02-21,"BC","Northern","Northeast",8,8.43
2021-02-21,"BC","Northern","Northern Interior",12,11.43
2021-02-21,"BC","Northern","Northwest",6,18
2021-02-21,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-21,"BC","Vancouver Coastal","All",97,118.29
2021-02-21,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",9,25.14
2021-02-21,"BC","Vancouver Coastal","Richmond",14,10.86
2021-02-21,"BC","Vancouver Coastal","Unknown",1,0.43
2021-02-21,"BC","Vancouver Coastal","Vancouver",73,81.86
2021-02-21,"BC","Vancouver Island","All",25,25.86
2021-02-21,"BC","Vancouver Island","Central Vancouver Island",17,16.57
2021-02-21,"BC","Vancouver Island","North Vancouver Island",4,5.57
2021-02-21,"BC","Vancouver Island","South Vancouver Island",4,3.71
2021-02-21,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2021-02-22,"BC","All","All",498,501.29
2021-02-22,"BC","Fraser","All",245,272.43
2021-02-22,"BC","Fraser","Fraser East",48,46.86
2021-02-22,"BC","Fraser","Fraser North",96,103.14
2021-02-22,"BC","Fraser","Fraser South",101,122.14
2021-02-22,"BC","Fraser","Unknown",0,0.29
2021-02-22,"BC","Interior","All",40,32.29
2021-02-22,"BC","Interior","East Kootenay",0,1.14
2021-02-22,"BC","Interior","Kootenay Boundary",1,0.71
2021-02-22,"BC","Interior","Okanagan",14,10
2021-02-22,"BC","Interior","Thompson Cariboo Shuswap",25,20.43
2021-02-22,"BC","Northern","All",54,44.14
2021-02-22,"BC","Northern","Northeast",12,9.71
2021-02-22,"BC","Northern","Northern Interior",4,11.57
2021-02-22,"BC","Northern","Northwest",38,22.86
2021-02-22,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-22,"BC","Vancouver Coastal","All",121,124
2021-02-22,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",37,27.57
2021-02-22,"BC","Vancouver Coastal","Richmond",10,10.86
2021-02-22,"BC","Vancouver Coastal","Unknown",1,0.57
2021-02-22,"BC","Vancouver Coastal","Vancouver",73,85
2021-02-22,"BC","Vancouver Island","All",38,28.43
2021-02-22,"BC","Vancouver Island","Central Vancouver Island",20,17.14
2021-02-22,"BC","Vancouver Island","North Vancouver Island",11,6.86
2021-02-22,"BC","Vancouver Island","South Vancouver Island",7,4.43
2021-02-22,"Out of Canada","Out of Canada","Out of Canada",3,0.86
2021-02-23,"BC","All","All",519,519.57
2021-02-23,"BC","Fraser","All",287,285.43
2021-02-23,"BC","Fraser","Fraser East",53,51.86
2021-02-23,"BC","Fraser","Fraser North",89,104.86
2021-02-23,"BC","Fraser","Fraser South",145,128.43
2021-02-23,"BC","Fraser","Unknown",0,0.29
2021-02-23,"BC","Interior","All",33,31.43
2021-02-23,"BC","Interior","East Kootenay",0,1.14
2021-02-23,"BC","Interior","Kootenay Boundary",1,0.86
2021-02-23,"BC","Interior","Okanagan",9,10.43
2021-02-23,"BC","Interior","Thompson Cariboo Shuswap",23,19
2021-02-23,"BC","Northern","All",28,46
2021-02-23,"BC","Northern","Northeast",3,10
2021-02-23,"BC","Northern","Northern Interior",7,12.29
2021-02-23,"BC","Northern","Northwest",18,23.71
2021-02-23,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-23,"BC","Vancouver Coastal","All",136,126.14
2021-02-23,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",18,23.71
2021-02-23,"BC","Vancouver Coastal","Richmond",6,10.71
2021-02-23,"BC","Vancouver Coastal","Unknown",2,0.86
2021-02-23,"BC","Vancouver Coastal","Vancouver",110,90.86
2021-02-23,"BC","Vancouver Island","All",35,30.57
2021-02-23,"BC","Vancouver Island","Central Vancouver Island",25,18.57
2021-02-23,"BC","Vancouver Island","North Vancouver Island",7,7.43
2021-02-23,"BC","Vancouver Island","South Vancouver Island",3,4.57
2021-02-23,"Out of Canada","Out of Canada","Out of Canada",1,0.86
2021-02-24,"BC","All","All",506,503.86
2021-02-24,"BC","Fraser","All",262,274
2021-02-24,"BC","Fraser","Fraser East",36,46.14
2021-02-24,"BC","Fraser","Fraser North",105,104.43
2021-02-24,"BC","Fraser","Fraser South",120,123.14
2021-02-24,"BC","Fraser","Unknown",1,0.29
2021-02-24,"BC","Interior","All",24,32.29
2021-02-24,"BC","Interior","East Kootenay",0,1.14
